Product Name,Grade,Generic Polymer Type,Generic Polymer Symbol,Density,Tensile Strength at Yield,Flexural Modulus,Flexural Strength,Tensile Modulus,Glass Transition Temperature,Melt Mass-Flow Rate (MFR)
Stirol,UPM-0612 L (1s.),"Polystyrene, High Impact",PS (HIPS),,22.6,,,,,3.0
Stirol,UPS-0803 E (1s.),"Polystyrene, High Impact",PS (HIPS),,,,,,,2.5
Styromer,e-S0701,"Polystyrene, General Purpose",PS (GPPS),,18.9,,,1840.0,,6.0
Styromer,e-S0702,"Polystyrene, General Purpose",PS (GPPS),,18.9,,,1840.0,,6.0
POLIMAXX,GP112,"Polystyrene, General Purpose",PS (GPPS),1.05,52.0,3240.0,,3140.0,,2.7
RTP,1700 TFE 15,Polyphenylene Ether + PS,PPE+PS,1.15,,2550.0,82.7,2210.0,,
RTP,1703 TFE 15,Polyphenylene Ether + PS,PPE+PS,1.32,,6550.0,138.0,7240.0,,
RTP,1799 X 117570 A,Polyphenylene Ether + PS,PPE+PS,1.09,,8270.0,96.5,10300.0,,
RTP,400 HI FR A,"Polystyrene, High Impact",PS (HIPS),1.16,,2280.0,46.9,2070.0,,
RTP,400 SI 2,"Polystyrene, General Purpose",PS (GPPS),1.04,,3310.0,82.7,3100.0,,
RTP,403 HI,"Polystyrene, High Impact",PS (HIPS),1.18,,5860.0,68.9,5860.0,,
RTP,405 HI,"Polystyrene, High Impact",PS (HIPS),1.27,,7720.0,75.8,8070.0,,
